experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,train_metric,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,train_rmse,train_r2,train_pearson,train_spearman,val_rmse,val_r2,val_pearson,val_spearman,test_rmse,test_r2,test_pearson,test_spearman,features
optuna_trial_0_seed_0,0.005298896666633773,0.0,256,6,0.01996906853691096,0.005032357343684096,0.05416260613062419,2.6328387336952937e-05,6,300,50,scaffold,0.2773,1.1925,,1.3602,,78,True,2025-11-26 04:45:48,0.3938,0.9903,0.9961,0.9936,1.8510,0.7803,0.8879,0.8266,1.7520,0.6754,0.8244,0.7889,basic
optuna_trial_0_seed_0,6.245132103054006e-05,0.2,256,10,0.6564442604556674,0.023375126274622907,0.0684232704927942,1.1341520149422967e-05,3,300,50,scaffold,1.8269,1.6296,,2.3064,,200,False,2025-11-26 04:53:48,2.4688,0.6395,0.8559,0.8292,2.1960,0.6908,0.8375,0.7463,2.7673,0.1902,0.7111,0.7419,basic+phys
optuna_trial_0_seed_0,1.227759231107628e-05,0.2,32,5,0.17468490065723513,0.01111501405247231,0.22565762330038097,1.2147075770314877e-05,6,300,50,scaffold,2.3022,3.1237,,2.6440,,200,False,2025-11-26 04:56:11,4.2831,-0.1506,0.5783,0.7406,4.3062,-0.1891,0.6890,0.4471,3.5977,-0.3687,0.3227,0.4096,basic
optuna_trial_0_seed_1,6.245132103054006e-05,0.2,256,10,0.6564442604556674,0.023375126274622907,0.0684232704927942,1.1341520149422967e-05,3,300,50,scaffold,2.6823,3.9966,,4.5752,,200,False,2025-11-26 04:57:51,3.4666,0.2197,0.6621,0.5719,4.9297,-10.2647,-0.2285,-0.3491,5.1983,-1.8575,0.4045,0.4462,basic+phys
optuna_trial_0_seed_1,1.227759231107628e-05,0.2,32,5,0.17468490065723513,0.01111501405247231,0.22565762330038097,1.2147075770314877e-05,6,300,50,scaffold,2.6331,3.6318,,4.6285,,62,True,2025-11-26 04:58:14,4.3513,-0.0971,0.5374,0.6402,6.0365,-15.8906,0.2458,0.2771,5.4075,-2.0920,0.3565,0.3936,basic
optuna_trial_0_seed_2,6.245132103054006e-05,0.2,256,10,0.6564442604556674,0.023375126274622907,0.0684232704927942,1.1341520149422967e-05,3,300,50,scaffold,1.8427,2.8355,,2.8951,,200,False,2025-11-26 05:01:57,2.4966,0.5446,0.7920,0.7883,3.9836,0.3585,0.7090,0.7641,3.3367,-0.1773,0.7270,0.7344,basic+phys
optuna_trial_0_seed_2,1.227759231107628e-05,0.2,32,5,0.17468490065723513,0.01111501405247231,0.22565762330038097,1.2147075770314877e-05,6,300,50,scaffold,2.2218,4.0453,,2.4976,,200,False,2025-11-26 05:04:46,4.2141,-0.2232,0.5758,0.7425,6.3216,-0.6154,0.2775,0.2275,3.4331,-0.2463,0.5159,0.5753,basic
optuna_trial_0_seed_3,6.245132103054006e-05,0.2,256,10,0.6564442604556674,0.023375126274622907,0.0684232704927942,1.1341520149422967e-05,3,300,50,scaffold,2.3004,3.2421,,2.1723,,200,False,2025-11-26 05:06:09,3.1476,0.4157,0.7596,0.7305,4.8557,0.2370,0.6629,0.7285,2.8269,0.1550,0.5931,0.6106,basic+phys
optuna_trial_1_seed_0,0.0004977463268526562,0.2,256,6,0.05451283733310527,0.0025011342493335923,0.5317734383154495,2.9190402525079286e-06,3,300,50,scaffold,0.7090,1.5754,,1.6718,,200,False,2025-11-26 05:10:18,1.0154,0.9365,0.9682,0.9616,2.0814,0.7222,0.8902,0.8515,2.1501,0.5112,0.7327,0.7536,basic+phys
optuna_trial_0_seed_3,1.227759231107628e-05,0.2,32,5,0.17468490065723513,0.01111501405247231,0.22565762330038097,1.2147075770314877e-05,6,300,50,scaffold,2.2569,2.9768,,2.5552,,200,False,2025-11-26 05:11:24,4.0944,-0.1519,0.5815,0.7512,5.3099,0.0876,0.6016,0.6847,3.4361,-0.2485,0.4463,0.4752,basic
optuna_trial_1_seed_1,0.0004977463268526562,0.2,256,6,0.05451283733310527,0.0025011342493335923,0.5317734383154495,2.9190402525079286e-06,3,300,50,scaffold,1.2366,2.0555,,2.5059,,61,True,2025-11-26 05:11:36,1.7869,0.7626,0.8778,0.8836,3.0348,-3.2692,0.2802,-0.1354,3.2773,-0.1358,0.5015,0.5395,basic+phys
optuna_trial_1_seed_2,0.0004977463268526562,0.2,256,6,0.05451283733310527,0.0025011342493335923,0.5317734383154495,2.9190402525079286e-06,3,300,50,scaffold,0.6839,1.7003,,1.3331,,184,True,2025-11-26 05:15:30,0.9710,0.9279,0.9634,0.9678,2.4422,0.7589,0.9248,0.8659,1.6889,0.6984,0.8643,0.8729,basic+phys
optuna_trial_2_seed_0,2.674374587278613e-05,0.5,256,9,0.01165715178529135,0.014477363652090175,0.6019765671897894,2.68367817200175e-06,6,300,50,scaffold,2.5845,3.7281,,3.5610,,200,False,2025-11-26 05:16:31,4.1843,-0.2983,0.4847,0.6217,5.0698,-0.6482,0.5560,0.4291,4.5409,-1.1804,0.3014,0.3389,basic
optuna_trial_1_seed_3,0.0004977463268526562,0.2,256,6,0.05451283733310527,0.0025011342493335923,0.5317734383154495,2.9190402525079286e-06,3,300,50,scaffold,1.1495,1.7780,,2.1803,,106,True,2025-11-26 05:17:41,1.5168,0.8393,0.9192,0.9082,2.4019,0.8133,0.9217,0.8630,2.8181,0.1602,0.8390,0.8311,basic+phys
optuna_trial_2_seed_1,2.674374587278613e-05,0.5,256,9,0.01165715178529135,0.014477363652090175,0.6019765671897894,2.68367817200175e-06,6,300,50,scaffold,3.2335,4.5810,,4.5275,,58,True,2025-11-26 05:17:48,4.6877,-0.3603,0.4821,0.5230,5.3764,-12.3989,0.4293,0.4621,5.4698,-2.1637,-0.1553,-0.1977,basic
optuna_trial_2_seed_2,2.674374587278613e-05,0.5,256,9,0.01165715178529135,0.014477363652090175,0.6019765671897894,2.68367817200175e-06,6,300,50,scaffold,2.5636,4.8038,,3.2353,,200,False,2025-11-26 05:22:13,3.9125,-0.4206,0.5234,0.6314,6.7598,-0.8472,0.1567,0.1751,4.1657,-0.8350,0.3094,0.3289,basic
optuna_trial_5_seed_0,1.1153453078508278e-05,0.1,32,7,0.7862728249068084,0.008123888897274592,0.6660944775186217,4.847517241680783e-06,3,300,50,scaffold,1.8972,2.2772,,2.7926,,200,False,2025-11-26 05:24:02,2.4916,0.6111,0.7953,0.7309,2.9875,0.4277,0.7303,0.5922,3.6209,-0.3864,0.5412,0.5443,basic+phys
optuna_trial_2_seed_3,2.674374587278613e-05,0.5,256,9,0.01165715178529135,0.014477363652090175,0.6019765671897894,2.68367817200175e-06,6,300,50,scaffold,2.6839,3.6287,,3.2779,,200,False,2025-11-26 05:26:28,4.3497,-0.1906,0.5203,0.6797,5.8051,-0.0905,0.5440,0.6186,4.2805,-0.9375,0.3650,0.4134,basic
optuna_trial_4_seed_0,2.0398486658722608e-05,0.1,256,5,0.041921379666159775,0.045332304263266544,0.23747223459694977,1.1954194093727523e-05,4,300,50,scaffold,5.2122,4.1701,,3.0649,,57,True,2025-11-26 05:27:41,6.6363,-1.9165,-0.0625,-0.1293,5.1361,-0.6916,0.4062,0.2963,3.8808,-0.5926,0.4577,0.4442,basic
optuna_trial_5_seed_1,1.1153453078508278e-05,0.1,32,7,0.7862728249068084,0.008123888897274592,0.6660944775186217,4.847517241680783e-06,3,300,50,scaffold,1.4664,2.3882,,2.0915,,200,False,2025-11-26 05:29:50,2.0708,0.7513,0.8726,0.8455,2.9858,-3.1323,0.1400,0.1380,2.5500,0.3124,0.7769,0.7808,basic+phys
optuna_trial_4_seed_1,2.0398486658722608e-05,0.1,256,5,0.041921379666159775,0.045332304263266544,0.23747223459694977,1.1954194093727523e-05,4,300,50,scaffold,6.2192,6.1113,,4.3879,,200,False,2025-11-26 05:31:42,7.8960,-2.5453,0.3113,0.4413,7.1872,-22.9445,0.2619,0.3551,5.2635,-1.9296,0.3842,0.3805,basic
optuna_trial_4_seed_2,2.0398486658722608e-05,0.1,256,5,0.041921379666159775,0.045332304263266544,0.23747223459694977,1.1954194093727523e-05,4,300,50,scaffold,9.1311,11.2678,,12.1148,,53,True,2025-11-26 05:32:47,11.2973,-7.1371,0.1088,0.1331,14.0437,-6.9726,-0.2577,-0.0833,13.0684,-17.0594,-0.0664,-0.1448,basic
optuna_trial_4_seed_3,2.0398486658722608e-05,0.1,256,5,0.041921379666159775,0.045332304263266544,0.23747223459694977,1.1954194093727523e-05,4,300,50,scaffold,5.7005,5.1677,,3.7154,,51,True,2025-11-26 05:33:50,7.3423,-2.9024,-0.0032,0.0055,9.1170,-1.6897,-0.1997,-0.1215,4.6767,-1.3127,0.1032,0.1925,basic
optuna_trial_5_seed_2,1.1153453078508278e-05,0.1,32,7,0.7862728249068084,0.008123888897274592,0.6660944775186217,4.847517241680783e-06,3,300,50,scaffold,1.5806,1.9185,,1.7149,,200,False,2025-11-26 05:35:32,2.1108,0.6931,0.8353,0.8048,2.6913,0.7072,0.8799,0.8153,2.1581,0.5075,0.7521,0.7755,basic+phys
optuna_trial_5_seed_0,1.1091841858248141e-05,0.0,32,3,0.46182174100014123,0.0018731874092040375,0.02265132682408243,4.00572005081475e-06,6,300,50,scaffold,2.0045,2.5030,,3.1683,,200,False,2025-11-26 05:40:15,4.2671,-0.1403,0.5817,0.7182,4.2992,-0.1852,0.6293,0.3762,4.2842,-0.9409,0.2702,0.2862,basic
optuna_trial_5_seed_3,1.1153453078508278e-05,0.1,32,7,0.7862728249068084,0.008123888897274592,0.6660944775186217,4.847517241680783e-06,3,300,50,scaffold,1.8456,2.6979,,2.2631,,200,False,2025-11-26 05:41:13,2.4362,0.5932,0.7916,0.7586,3.5342,0.5958,0.8128,0.7940,2.8041,0.1686,0.5517,0.5707,basic+phys
optuna_trial_5_seed_1,1.1091841858248141e-05,0.0,32,3,0.46182174100014123,0.0018731874092040375,0.02265132682408243,4.00572005081475e-06,6,300,50,scaffold,2.5069,3.5478,,4.9708,,53,True,2025-11-26 05:42:00,4.3446,-0.0930,0.5073,0.6178,6.6803,-19.6861,0.2286,0.3798,5.9075,-2.6904,0.0661,0.1007,basic
optuna_trial_6_seed_0,0.0020015719672775165,0.1,64,10,0.37839013709493974,0.0662333818457128,0.016822848520942228,6.619873987003764e-06,7,300,50,scaffold,0.2802,1.0161,,1.1528,,161,True,2025-11-26 05:45:31,0.5005,0.9843,0.9932,0.9918,1.8768,0.7741,0.9108,0.8452,1.4823,0.7677,0.8808,0.8730,basic+phys
optuna_trial_6_seed_1,0.0020015719672775165,0.1,64,10,0.37839013709493974,0.0662333818457128,0.016822848520942228,6.619873987003764e-06,7,300,50,scaffold,0.2507,0.9774,,1.3789,,92,True,2025-11-26 05:47:56,0.3918,0.9911,0.9956,0.9920,1.8795,-0.6375,0.6375,0.5980,1.8559,0.6358,0.8595,0.8752,basic+phys
optuna_trial_5_seed_2,1.1091841858248141e-05,0.0,32,3,0.46182174100014123,0.0018731874092040375,0.02265132682408243,4.00572005081475e-06,6,300,50,scaffold,1.7943,3.8316,,2.4600,,200,False,2025-11-26 05:48:33,3.6172,0.0987,0.6725,0.7837,6.1104,-0.5093,0.2564,0.1814,3.5410,-0.3259,0.4191,0.4608,basic
optuna_trial_0_seed_0,5.9296974469521e-05,0.2,128,3,0.32894813333570244,0.0259639687625874,0.21329575729481914,1.101287878709179e-06,6,300,50,scaffold,1.6713,1.4722,,2.4106,,200,False,2025-11-26 05:53:11,4.7645,-0.4682,0.6000,0.8621,2.6280,0.5571,0.8552,0.7484,3.8219,-0.5446,0.3428,0.6432,basic
optuna_trial_0_seed_0,0.0002173861107899934,0.0,32,4,0.10753799155620095,0.05932004912582759,0.0810433949842065,9.518020683039262e-06,4,300,50,scaffold,0.5522,1.4075,,1.3796,,141,True,2025-11-26 05:53:14,0.7922,0.9607,0.9828,0.9694,2.0101,0.7409,0.8909,0.8016,1.6971,0.6954,0.8530,0.8343,basic+phys
optuna_trial_0_seed_1,5.9296974469521e-05,0.2,128,3,0.32894813333570244,0.0259639687625874,0.21329575729481914,1.101287878709179e-06,6,300,50,scaffold,2.3269,2.5005,,3.4331,,61,True,2025-11-26 05:54:31,4.4448,-0.1333,0.5942,0.7270,10.4499,-49.6186,0.2079,0.5338,4.3869,-1.0351,0.2861,0.3269,basic
optuna_trial_0_seed_2,5.9296974469521e-05,0.2,128,3,0.32894813333570244,0.0259639687625874,0.21329575729481914,1.101287878709179e-06,6,300,50,scaffold,1.5014,2.7673,,2.0477,,200,False,2025-11-26 05:58:50,4.3507,-0.3285,0.5913,0.8631,4.1156,0.3153,0.7190,0.5669,3.5588,-0.3392,0.4411,0.6440,basic
optuna_trial_0_seed_1,0.0002173861107899934,0.0,32,4,0.10753799155620095,0.05932004912582759,0.0810433949842065,9.518020683039262e-06,4,300,50,scaffold,0.4945,1.5528,,1.5977,,200,False,2025-11-26 05:59:19,0.7416,0.9682,0.9842,0.9800,2.1069,-1.0576,0.4405,0.2449,2.0044,0.5752,0.7746,0.7725,basic+phys
